0
0.916 1.145 0.152   440     0 0.916 1.145 0.152   440     0  1.12
4.56937 4.56937       0    1.12
-4.049e-05          0 -4.049e-05          0

0.05
0.915955    1.145  0.15227  439.994        0 0.915955    1.145  0.15227  439.994        0  1.12001
4.59525 4.59525       0 1.12001
-7.65276e-05            0 -7.65276e-05            0

0.1
0.915902  1.14502 0.152438  439.986        0 0.915902  1.14502 0.152438  439.986        0  1.12001
4.61025 4.61025       0 1.12001
-0.000107388            0 -0.000107388            0

